"key","number","candidateScore","partyC","partyName"
"ACR_1_10","10",38275,709,"ภูมิใจไทย"
"ACR_1_8","8",21388,705,"เพื่อไทย"
"ACR_1_6","6",16724,726,"ก้าวไกล"
"ACR_1_5","5",15926,701,"ประชาธิปัตย์"
"ACR_1_9","9",2825,743,"พลังประชารัฐ"
"ACR_1_3","3",2701,763,"รวมไทยสร้างชาติ"
"ACR_1_7","7",1281,762,"ไทยสร้างไทย"
"ACR_1_4","4",668,719,"เสรีรวมไทย"
"ACR_1_1","1",459,706,"ชาติพัฒนากล้า"
"ACR_1_2","2",234,769,"ไทยภักดี"
"ACR_1_13","13",212,761,"พลังสังคมใหม่"
"ACR_1_12","12",127,742,"คลองไทย"
"ACR_1_11","11",126,712,"ประชาธิปไตยใหม่"
"ACR_2_10","10",46881,709,"ภูมิใจไทย"
"ACR_2_1","1",19188,726,"ก้าวไกล"
"ACR_2_3","3",17637,705,"เพื่อไทย"
"ACR_2_9","9",16009,743,"พลังประชารัฐ"
"ACR_2_5","5",2530,701,"ประชาธิปัตย์"
"ACR_2_2","2",2027,762,"ไทยสร้างไทย"
"ACR_2_7","7",1156,763,"รวมไทยสร้างชาติ"
"ACR_2_6","6",519,719,"เสรีรวมไทย"
"ACR_2_8","8",378,769,"ไทยภักดี"
"ACR_2_4","4",197,712,"ประชาธิปไตยใหม่"
"ACR_2_11","11",193,742,"คลองไทย"
"ACR_2_12","12",173,770,"แนวทางใหม่"
"ATG_1_8","8",44725,709,"ภูมิใจไทย"
"ATG_1_7","7",20828,705,"เพื่อไทย"
"ATG_1_1","1",15591,726,"ก้าวไกล"
"ATG_1_3","3",1599,763,"รวมไทยสร้างชาติ"
"ATG_1_5","5",617,743,"พลังประชารัฐ"
"ATG_1_4","4",481,701,"ประชาธิปัตย์"
"ATG_1_6","6",359,769,"ไทยภักดี"
"ATG_1_2","2",254,719,"เสรีรวมไทย"
"ATG_2_8","8",47232,709,"ภูมิใจไทย"
"ATG_2_4","4",21459,705,"เพื่อไทย"
"ATG_2_6","6",11206,726,"ก้าวไกล"
"ATG_2_1","1",1270,763,"รวมไทยสร้างชาติ"
"ATG_2_5","5",788,743,"พลังประชารัฐ"
"ATG_2_7","7",648,701,"ประชาธิปัตย์"
"ATG_2_9","9",288,769,"ไทยภักดี"
"ATG_2_2","2",206,719,"เสรีรวมไทย"
"ATG_2_3","3",171,733,"ไทยศรีวิไลย์"
"AYA_1_7","7",41081,726,"ก้าวไกล"
"AYA_1_8","8",35676,709,"ภูมิใจไทย"
"AYA_1_5","5",15289,705,"เพื่อไทย"
"AYA_1_2","2",6677,763,"รวมไทยสร้างชาติ"
"AYA_1_6","6",1250,743,"พลังประชารัฐ"
"AYA_1_1","1",1014,701,"ประชาธิปัตย์"
"AYA_1_9","9",751,719,"เสรีรวมไทย"
"AYA_1_3","3",621,762,"ไทยสร้างไทย"
"AYA_1_4","4",364,769,"ไทยภักดี"
"AYA_1_10","10",98,738,"เพื่อชาติไทย"
"AYA_2_5","5",27467,726,"ก้าวไกล"
"AYA_2_1","1",26804,709,"ภูมิใจไทย"
"AYA_2_6","6",24683,743,"พลังประชารัฐ"
"AYA_2_9","9",14855,705,"เพื่อไทย"
"AYA_2_3","3",4370,763,"รวมไทยสร้างชาติ"
"AYA_2_8","8",793,701,"ประชาธิปัตย์"
"AYA_2_4","4",532,739,"รวมแผ่นดิน"
"AYA_2_2","2",446,769,"ไทยภักดี"
"AYA_2_10","10",276,719,"เสรีรวมไทย"
"AYA_2_7","7",0,771,"ไทยชนะ"
"AYA_3_3","3",47117,709,"ภูมิใจไทย"
"AYA_3_8","8",34584,726,"ก้าวไกล"
"AYA_3_9","9",13061,705,"เพื่อไทย"
"AYA_3_2","2",3374,763,"รวมไทยสร้างชาติ"
"AYA_3_6","6",2120,743,"พลังประชารัฐ"
"AYA_3_7","7",911,734,"รวมพลัง"
"AYA_3_5","5",646,719,"เสรีรวมไทย"
"AYA_3_1","1",433,701,"ประชาธิปัตย์"
"AYA_3_4","4",290,762,"ไทยสร้างไทย"
"AYA_3_10","10",137,769,"ไทยภักดี"
"AYA_4_5","5",50080,709,"ภูมิใจไทย"
"AYA_4_7","7",31073,726,"ก้าวไกล"
"AYA_4_6","6",23229,705,"เพื่อไทย"
"AYA_4_3","3",2939,763,"รวมไทยสร้างชาติ"
"AYA_4_4","4",418,719,"เสรีรวมไทย"
"AYA_4_2","2",414,743,"พลังประชารัฐ"
"AYA_4_8","8",355,701,"ประชาธิปัตย์"
"AYA_4_1","1",338,769,"ไทยภักดี"
"AYA_4_9","9",261,738,"เพื่อชาติไทย"
"AYA_5_6","6",37275,709,"ภูมิใจไทย"
"AYA_5_4","4",30120,705,"เพื่อไทย"
"AYA_5_3","3",22100,726,"ก้าวไกล"
"AYA_5_1","1",8786,763,"รวมไทยสร้างชาติ"
"AYA_5_5","5",836,701,"ประชาธิปัตย์"
"AYA_5_12","12",601,707,"ชาติไทยพัฒนา"
"AYA_5_7","7",377,769,"ไทยภักดี"
"AYA_5_2","2",374,733,"ไทยศรีวิไลย์"
"AYA_5_9","9",341,762,"ไทยสร้างไทย"
"AYA_5_8","8",273,719,"เสรีรวมไทย"
"AYA_5_13","13",219,738,"เพื่อชาติไทย"
"AYA_5_10","10",209,743,"พลังประชารัฐ"
"AYA_5_11","11",0,727,"ทางเลือกใหม่"
"BKK_1_5","5",37438,726,"ก้าวไกล"
"BKK_1_1","1",18261,763,"รวมไทยสร้างชาติ"
"BKK_1_8","8",15289,705,"เพื่อไทย"
"BKK_1_10","10",11544,701,"ประชาธิปัตย์"
"BKK_1_7","7",2368,762,"ไทยสร้างไทย"
"BKK_1_11","11",1495,743,"พลังประชารัฐ"
"BKK_1_9","9",1247,706,"ชาติพัฒนากล้า"
"BKK_1_6","6",656,709,"ภูมิใจไทย"
"BKK_1_13","13",625,719,"เสรีรวมไทย"
"BKK_1_2","2",431,769,"ไทยภักดี"
"BKK_1_4","4",264,729,"เส้นด้าย"
"BKK_1_14","14",140,727,"ทางเลือกใหม่"
"BKK_1_3","3",133,721,"เพื่อชาติ"
"BKK_1_12","12",130,733,"ไทยศรีวิไลย์"
"BKK_1_15","15",71,742,"คลองไทย"
"BKK_10_6","6",38313,726,"ก้าวไกล"
"BKK_10_2","2",22492,762,"ไทยสร้างไทย"
"BKK_10_10","10",14745,705,"เพื่อไทย"
"BKK_10_8","8",11065,763,"รวมไทยสร้างชาติ"
"BKK_10_7","7",9545,701,"ประชาธิปัตย์"
"BKK_10_3","3",895,743,"พลังประชารัฐ"
"BKK_10_1","1",751,706,"ชาติพัฒนากล้า"
"BKK_10_4","4",516,719,"เสรีรวมไทย"
